,BalancingElements,ColorHarmony,Content,DoF,Light,Object,RuleOfThirds,VividColor,score,total_loss,epoch
0,tensor(0.2071),tensor(0.2329),tensor(0.0515),tensor(0.0030),tensor(0.0027),tensor(0.0237),tensor(0.0148),tensor(0.0152),tensor(0.0087),tensor(0.5598),0
1,tensor(0.0063),tensor(0.1592),tensor(0.0020),tensor(0.0099),tensor(0.0034),tensor(0.0005),tensor(1.7947e-06),tensor(0.0050),tensor(0.1455),tensor(0.3319),0
2,tensor(0.0035),tensor(0.1167),tensor(0.4053),tensor(0.0920),tensor(0.0051),tensor(0.1437),tensor(0.0518),tensor(0.0056),tensor(0.0612),tensor(0.8849),0
3,tensor(0.0055),tensor(0.1648),tensor(0.0016),tensor(0.0013),tensor(0.0112),tensor(0.1843),tensor(0.0105),tensor(0.0182),tensor(0.0006),tensor(0.3981),0
4,tensor(0.0025),tensor(0.0608),tensor(0.3745),tensor(0.0605),tensor(0.0039),tensor(0.1476),tensor(0.0025),tensor(0.0132),tensor(0.0017),tensor(0.6671),0
5,tensor(0.0002),tensor(0.0341),tensor(0.5134),tensor(0.0076),tensor(0.0033),tensor(0.0069),tensor(0.0147),tensor(0.1642),tensor(0.0002),tensor(0.7446),0
6,tensor(0.0118),tensor(0.0025),tensor(0.0453),tensor(0.2296),tensor(0.0390),tensor(0.2200),tensor(0.1454),tensor(0.0135),tensor(0.0540),tensor(0.7611),0
7,tensor(0.0000),tensor(0.1037),tensor(0.2341),tensor(0.6993),tensor(0.1011),tensor(0.5375),tensor(0.0213),tensor(0.0054),tensor(0.0984),tensor(1.8008),0
8,tensor(0.0239),tensor(0.2604),tensor(0.1044),tensor(0.0010),tensor(0.0179),tensor(0.0443),tensor(0.0024),tensor(0.0048),tensor(0.0025),tensor(0.4615),0
9,tensor(0.0017),tensor(0.0930),tensor(0.2518),tensor(0.0137),tensor(0.1004),tensor(0.4010),tensor(0.0893),tensor(0.0047),tensor(0.0451),tensor(1.0007),0
10,tensor(0.0004),tensor(0.0060),tensor(0.0052),tensor(0.0017),tensor(1.0022e-07),tensor(0.1900),tensor(0.0009),tensor(0.0057),tensor(0.0180),tensor(0.2279),0
11,tensor(0.0451),tensor(0.0005),tensor(0.1115),tensor(0.0084),tensor(0.0549),tensor(0.2062),tensor(0.1625),tensor(0.1320),tensor(0.0202),tensor(0.7414),0
12,tensor(0.0035),tensor(0.0068),tensor(0.0260),tensor(0.0000),tensor(0.0153),tensor(0.0103),tensor(0.0004),tensor(0.0004),tensor(0.2660),tensor(0.3287),0
13,tensor(0.0131),tensor(0.0383),tensor(0.0446),tensor(0.0004),tensor(0.0286),tensor(0.0116),tensor(0.0096),tensor(0.1254),tensor(0.0001),tensor(0.2715),0
14,tensor(0.0168),tensor(0.0321),tensor(0.0226),tensor(0.0298),tensor(0.0009),tensor(0.1234),tensor(0.0509),tensor(0.0227),tensor(0.0414),tensor(0.3407),0
15,tensor(0.0059),tensor(0.0103),tensor(0.0908),tensor(0.1384),tensor(0.0025),tensor(0.5107),tensor(0.0063),tensor(0.0101),tensor(0.0835),tensor(0.8587),0
16,tensor(0.0019),tensor(0.2119),tensor(0.0024),tensor(0.0254),tensor(0.0568),tensor(0.2233),tensor(0.0135),tensor(0.0617),tensor(0.0352),tensor(0.6322),0
17,tensor(0.0164),tensor(0.0656),tensor(0.1819),tensor(0.0066),tensor(0.0337),tensor(0.2071),tensor(0.3105),tensor(0.0083),tensor(0.0405),tensor(0.8706),0
18,tensor(0.0002),tensor(0.0007),tensor(0.3359),tensor(0.0052),tensor(0.0657),tensor(0.4927),tensor(0.0005),tensor(0.4422),tensor(0.0696),tensor(1.4127),0
19,tensor(0.0001),tensor(0.0996),tensor(0.0898),tensor(0.0093),tensor(0.1276),tensor(0.0913),tensor(0.0400),tensor(0.0719),tensor(0.0204),tensor(0.5500),0
20,tensor(0.0009),tensor(0.0109),tensor(0.0400),tensor(0.0013),tensor(0.0146),tensor(0.0092),tensor(0.0096),tensor(0.0357),tensor(0.0077),tensor(0.1299),0
21,tensor(0.0004),tensor(0.0125),tensor(0.1743),tensor(0.0179),tensor(0.1560),tensor(0.0925),tensor(0.0042),tensor(0.0887),tensor(0.0001),tensor(0.5466),0
