ImageFile,BalancingElements,ColorHarmony,Content,DoF,Light,Object,RuleOfThirds,VividColor,score
farm1_286_20013434330_d99ab6b9a0_b.jpg,0,0.8,0.6,0.6,-0.2,0.8,0,-0.2,0.65
farm1_273_19900479178_9c64cca006_b.jpg,0,0,1,0.4,0.6,0,0.2,0,0.6
farm1_285_19484842833_2ebfbc985e_b.jpg,-0.4,0.4,0.4,0,-0.2,0,-0.2,0,0.5
farm1_344_19990824729_56e421dc46_b.jpg,-0.4,0.4,-1,0,0,-0.8,0,0,0.35
farm1_388_20301245466_fd4866a2d9_b.jpg,-0.2,0.4,0.8,0,0,0.2,0.2,0,0.45
farm1_324_20082073656_0a928e1dc5_b.jpg,0,0,-0.6,0,0.2,-1,-0.4,-0.6,0.25
farm1_338_20262308112_9a826f8d71_b.jpg,0.4,-0.2,-0.2,-0.2,-0.2,-0.4,0.2,-0.2,0.3
farm1_269_19546542944_89dc1fcd26_b.jpg,0,-0.2,-0.4,0,0,-0.2,-0.4,-0.2,0.3
farm1_392_20138260089_60d41675c9_b.jpg,0,0.4,0,0.2,0.4,0.2,0,0.6,0.6
farm1_312_20060992036_52e83c8234_b.jpg,0,0.8,0.4,0.6,0,0.8,0.4,-0.2,0.85
farm1_429_20164497916_612b5cce64_b.jpg,-0.2,0.2,-0.4,0,-0.4,-0.8,0,-0.6,0.35
farm1_368_20183477926_ac4e2a3528_b.jpg,0.2,0.4,1,0,0,0.6,0.2,0.4,0.7
farm4_3728_20002843560_78f4cc626d_b.jpg,0,1,-1,0,0,-1,0,0,0.25
farm1_391_19645963734_f7c6b68a40_b.jpg,0,0.2,-0.2,0,-0.4,-0.2,-0.2,0.2,0.5
farm4_3782_20257244016_f48605817a_b.jpg,0,0.6,-0.2,0.2,0.4,0.8,0.2,0.2,0.6
farm1_437_20163520542_f6d66c3bd6_b.jpg,-0.2,0.1,0.8,0.1,0.2,0.9,0.3,-0.3,0.7
farm1_345_19953071359_8f955879f4_b.jpg,0,0.2,-0.8,0,-0.2,-0.8,0,-0.6,0.3
farm1_376_20009716000_e32cc3895d_b.jpg,0,0,0.2,-0.2,-0.2,0.4,0,0.2,0.6
farm1_372_19556601843_1de89f74fd_b.jpg,0,0.2,-0.2,0,0,0.2,0,-0.2,0.5
farm1_376_20079315030_4be197cb19_b.jpg,0,0.6,0.2,0.6,0.4,0,-0.2,0.8,0.7
farm1_448_20269716561_f0da9a39a5_b.jpg,0,0.4,0.4,0,-0.8,0,0,-0.2,0.6
farm1_358_19464797504_23f2bd28de_b.jpg,0,0.4,-0.6,-0.2,0,-0.6,0,-0.4,0.2
farm1_379_20077005279_c802a18b28_b.jpg,-0.2,0.2,-0.2,0,-0.4,-0.2,0,0,0.25
farm1_323_20207500395_2e306b5158_b.jpg,0.2,0,0,-0.2,-0.2,0,0.2,0,0.4
farm1_264_19985507918_555b610517_b.jpg,0,0.4,0.6,0.8,0.2,0.8,0.4,1,0.95
farm1_395_20138913210_603de098e6_b.jpg,0,0.2,-0.2,0.6,0.2,0.2,-0.2,-0.6,0.5
farm1_505_19709288534_becbc3cf32_b.jpg,-0.2,-0.4,-0.6,-0.4,-0.2,-1,-0.4,-0.4,0.05
farm1_550_20000925099_b4fdcc8d06_b.jpg,0,0.4,0.4,0,0.4,-0.2,0,0.2,0.55
farm1_310_20196000285_f3bb6de389_b.jpg,0.4,-0.2,0.4,0,0,-0.6,0.2,-0.4,0.55
farm1_368_20075608942_ce25bf6da9_b.jpg,0,-0.2,-0.6,-0.2,-1,-0.8,0.2,-0.6,0.2
farm1_501_20155645815_e5b5b650ae_b.jpg,0,0.8,-0.6,0,0,0,0,-0.2,0.45
